One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation:Software Developers(SOC Code151252),,,,,,,,,,,,,,,,,
Period:May 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
"Elkhart-Goshen, IN(0021140)",         200,         9.3,       49.56,      103080,         1.8,       31.67,       37.82,       48.47,       59.68,       66.90,       65860,       78670,      100820,      124140,      139150,       1.391,        0.13
"Elmira, NY(0021300)",         100,         8.3,       46.63,       96990,         2.8,       28.48,       32.62,       43.32,       58.64,       72.68,       59230,       67850,       90110,      121960,      151180,       2.824,        0.27
"Enid, OK(0021420)",          70,        12.0,       38.34,       79750,         5.1,       22.08,       22.63,       34.18,       54.91,       59.25,       45930,       47070,       71090,      114220,      123230,       3.212,        0.31
"Erie, PA(0021500)",         510,         3.8,       46.93,       97610,         1.3,       28.97,       37.22,       48.12,       55.23,       63.94,       60260,       77420,      100080,      114880,      133000,       4.371,        0.42
"Eugene, OR(0021660)",         830,        12.0,       55.16,      114720,         2.9,       28.64,       38.41,       50.14,       65.11,       77.18,       59580,       79890,      104280,      135430,      160530,       5.425,        0.52
"Evansville, IN-KY(0021780)",         340,         6.1,       49.43,      102810,         4.5,       29.39,       35.74,       46.47,       56.46,       67.30,       61140,       74340,       96650,      117440,      139980,       2.300,        0.22
"Fargo, ND-MN(0022020)",        1430,         7.3,       40.53,       84300,        14.7,       19.64,       29.15,       41.32,       48.27,       61.28,       40840,       60630,       85950,      100410,      127470,      10.200,        0.98
"Fayetteville, NC(0022180)",         510,        15.5,       52.81,      109840,         1.9,       30.59,       39.22,       49.40,       62.59,       77.84,       63630,       81580,      102740,      130200,      161920,       3.946,        0.38
"Fayetteville-Springdale-Rogers, AR-MO(0022220)",        1900,         5.4,       47.21,       98200,         2.1,       28.62,       37.15,       47.41,       52.08,       66.74,       59530,       77280,       98600,      108330,      138810,       7.432,        0.72
"Flagstaff, AZ(0022380)",         120,         9.4,       56.46,      117440,         3.1,       31.93,       42.00,       50.70,       63.43,       80.24,       66410,       87350,      105460,      131930,      166900,       2.016,        0.19
"Flint, MI(0022420)",         300,        10.6,       48.78,      101470,         3.8,       28.10,       36.48,       45.93,       60.88,       64.74,       58450,       75870,       95520,      126640,      134660,       2.288,        0.22
"Florence, SC(0022500)",         250,         4.3,       46.54,       96790,         1.7,       26.60,       36.07,       42.61,       59.38,       66.64,       55320,       75030,       88630,      123510,      138600,       2.880,        0.28
"Florence-Muscle Shoals, AL(0022520)",          60,         9.6,       43.81,       91110,         3.7,       22.20,       30.59,       39.93,       55.85,       67.71,       46180,       63630,       83050,      116170,      140850,       1.144,        0.11
"Fond du Lac, WI(0022540)",         150,        10.9,       48.25,      100350,         4.5,       30.64,       37.83,       46.07,       58.70,       61.84,       63730,       78690,       95830,      122090,      128630,       3.307,        0.32
"Fort Collins, CO(0022660)",        1830,         9.6,       56.65,      117840,         5.5,       33.65,       40.97,       55.92,       66.05,       80.68,       69990,       85210,      116310,      137390,      167810,      10.822,        1.04
"Fort Smith, AR-OK(0022900)",         150,        15.2,       41.76,       86850,         3.5,       24.67,       30.29,       38.80,       48.26,       61.09,       51300,       63010,       80710,      100370,      127070,       1.450,        0.14
"Fort Wayne, IN(0023060)",         680,         6.3,       48.13,      100110,         1.3,       28.56,       36.19,       47.24,       58.99,       66.57,       59400,       75280,       98260,      122700,      138470,       3.124,        0.30
"Fresno, CA(0023420)",         640,        12.2,       58.95,      122610,         1.5,       32.46,       46.79,       60.18,       74.95,       80.58,       67510,       97320,      125180,      155890,      167600,       1.607,        0.15
"Gainesville, FL(0023540)",         880,         3.2,       42.86,       89160,         2.0,       22.91,       28.33,       36.75,       54.83,       68.07,       47660,       58920,       76440,      114050,      141580,       6.436,        0.62
"Gainesville, GA(0023580)",         240,        10.7,       55.70,      115860,         3.2,       29.53,       41.30,       54.23,       63.13,       74.49,       61420,       85910,      112800,      131310,      154950,       2.564,        0.25
"Glens Falls, NY(0024020)",          90,         5.6,       52.06,      108290,         4.5,       27.94,       34.99,       48.97,       69.91,       80.10,       58100,       72790,      101860,      145410,      166610,       1.842,        0.18
"Goldsboro, NC(0024140)",          70,         6.3,       51.26,      106620,         5.6,       25.27,       32.66,       46.32,       61.65,       87.66,       52560,       67940,       96340,      128230,      182340,       1.811,        0.17
"Grand Forks, ND-MN(0024220)",         140,        11.6,       45.21,       94040,         7.5,       26.87,       34.67,       42.96,       51.26,       66.30,       55880,       72110,       89350,      106630,      137900,       2.896,        0.28
"Grand Island, NE(0024260)",          50,        13.7,       44.09,       91710,         4.8,       24.41,       33.12,       46.09,       50.89,       61.44,       50780,       68890,       95860,      105840,      127790,       1.112,        0.11
"Grand Junction, CO(0024300)",         130,        29.4,       52.69,      109600,         4.1,       28.32,       34.72,       51.41,       64.02,       80.74,       58900,       72220,      106930,      133160,      167940,       2.064,        0.20
"Grand Rapids-Wyoming, MI(0024340)",        3860,         5.6,       45.38,       94390,         2.1,       28.17,       34.75,       43.91,       52.16,       63.27,       58590,       72270,       91330,      108500,      131600,       7.014,        0.68
"Grants Pass, OR(0024420)",          60,         9.8,       59.62,      124000,         5.9,       31.24,       42.93,       52.86,       74.37,       91.29,       64970,       89300,      109960,      154680,      189880,       2.201,        0.21
"Great Falls, MT(0024500)",          80,        15.7,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       2.175,        0.21
"Greeley, CO(0024540)",         340,         6.2,       58.14,      120920,         2.8,       33.11,       41.96,       57.23,       73.44,       84.97,       68870,       87280,      119030,      152760,      176740,       3.121,        0.30
"Green Bay, WI(0024580)",         770,         3.1,       47.04,       97840,         1.0,       29.42,       37.59,       47.49,       57.52,       64.10,       61190,       78190,       98780,      119640,      133320,       4.567,        0.44
"Greensboro-High Point, NC(0024660)",        2070,         5.8,       56.38,      117260,         1.2,       33.20,       42.03,       53.54,       66.29,       81.17,       69060,       87420,      111360,      137880,      168840,       5.870,        0.57
"Greenville, NC(0024780)",         210,         5.9,       49.08,      102080,         5.0,       25.59,       37.34,       47.68,       58.09,       73.94,       53220,       77670,       99160,      120830,      153800,       2.747,        0.26
"Greenville-Anderson-Mauldin, SC(0024860)",        1760,         5.8,       47.99,       99820,         2.6,       30.89,       37.60,       43.57,       56.26,       68.26,       64240,       78220,       90620,      117020,      141970,       4.297,        0.41
"Gulfport-Biloxi-Pascagoula, MS(0025060)",         400,         9.3,       50.51,      105060,         9.7,       30.00,       36.26,       46.12,       63.02,       84.31,       62410,       75420,       95930,      131080,      175370,       2.669,        0.26
"Hagerstown-Martinsburg, MD-WV(0025180)",         260,        12.8,       51.05,      106190,         5.6,       29.95,       36.19,       48.16,       64.88,       73.54,       62290,       75260,      100180,      134950,      152960,       2.579,        0.25
"Hammond, LA(0025220)",          40,        22.2,       51.10,      106280,         5.4,       32.09,       39.67,       48.33,       61.48,       79.20,       66750,       82510,      100530,      127890,      164730,       0.920,        0.09
"Harrisburg-Carlisle, PA(0025420)",        2170,         3.7,       51.34,      106790,         1.7,       33.24,       40.49,       49.61,       59.97,       68.56,       69130,       84220,      103190,      124730,      142600,       6.783,        0.65
"Harrisonburg, VA(0025500)",         280,         4.7,       51.64,      107420,         1.9,       29.66,       39.08,       50.04,       62.43,       78.39,       61690,       81280,      104090,      129860,      163060,       4.338,        0.42
"Hartford-West Hartford-East Hartford, CT(0073450)",        6980,         2.7,       56.45,      117410,         1.6,       32.53,       43.37,       53.37,       65.58,       78.01,       67660,       90210,      111010,      136400,      162260,      12.535,        1.21
"Hattiesburg, MS(0025620)",          80,        19.9,       34.33,       71410,         3.1,       22.92,       22.92,       27.35,       38.69,       60.40,       47680,       47680,       56890,       80480,      125620,       1.220,        0.12
Hawaii / Kauai nonmetropolitan area(1500001),         220,        12.4,       56.66,      117840,         6.8,       25.24,       44.59,       54.21,       75.73,       79.65,       52500,       92740,      112750,      157510,      165670,       2.238,        0.22
"Hickory-Lenoir-Morganton, NC(0025860)",         510,         8.0,       61.24,      127370,         6.8,       30.71,       39.13,       54.73,       71.56,       97.13,       63880,       81390,      113850,      148840,      202040,       3.323,        0.32
Hill Country Region of Texas nonmetropolitan area(4800004),         220,        18.8,       46.66,       97050,         3.0,       27.19,       31.18,       44.94,       58.72,       74.98,       56560,       64850,       93470,      122140,      155960,       1.106,        0.11
"Hilton Head Island-Bluffton-Beaufort, SC(0025940)",         130,        11.9,       52.60,      109410,         6.6,       33.61,       38.55,       45.98,       58.98,       76.61,       69910,       80180,       95630,      122690,      159360,       1.655,        0.16
"Homosassa Springs, FL(0026140)",          70,        16.8,       48.01,       99850,         4.4,       28.49,       34.45,       45.57,       59.93,       74.99,       59250,       71660,       94780,      124650,      155980,       2.189,        0.21
"Hot Springs, AR(0026300)",          50,        14.1,       42.66,       88740,         9.1,       22.94,       31.23,       39.11,       47.91,       65.90,       47710,       64960,       81350,       99660,      137070,       1.293,        0.12
"Houma-Thibodaux, LA(0026380)",          50,        29.3,       49.41,      102760,         6.1,       31.12,       37.99,       48.88,       60.24,       64.90,       64730,       79010,      101660,      125300,      135000,       0.676,        0.07
"Houston-The Woodlands-Sugar Land, TX(0026420)",       18520,         4.8,       57.70,      120020,         1.9,       31.61,       42.35,       56.64,       67.64,       79.77,       65750,       88080,      117800,      140680,      165920,       6.062,        0.58
"Huntington-Ashland, WV-KY-OH(0026580)",         130,         8.4,       40.81,       84890,         5.9,       23.17,       29.88,       36.30,       50.18,       65.22,       48200,       62150,       75500,      104360,      135660,       1.057,        0.10
"Huntsville, AL(0026620)",        6960,         4.3,       57.76,      120140,         1.2,       33.38,       40.63,       52.07,       67.06,       84.40,       69430,       84500,      108310,      139490,      175560,      29.105,        2.80
"Idaho Falls, ID(0026820)",         410,         5.2,       55.29,      114990,         2.9,       29.32,       42.37,       51.96,       66.95,       82.58,       60980,       88130,      108080,      139250,      171770,       5.458,        0.53
"Indianapolis-Carmel-Anderson, IN(0026900)",        6960,         8.4,       50.27,      104560,         1.4,       29.66,       39.10,       50.29,       61.79,       68.67,       61690,       81330,      104600,      128520,      142830,       6.622,        0.64
"Iowa City, IA(0026980)",         790,         3.7,       45.99,       95670,         1.8,       31.20,       38.88,       41.11,       51.42,       64.45,       64900,       80860,       85520,      106940,      134060,       8.779,        0.85
"Ithaca, NY(0027060)",         340,         4.2,       53.64,      111570,         1.8,       30.70,       40.04,       52.85,       65.16,       79.62,       63860,       83280,      109930,      135540,      165600,       7.196,        0.69
"Jackson, MI(0027100)",         320,         7.5,       46.58,       96890,         1.7,       28.53,       38.11,       48.06,       50.93,       63.53,       59340,       79280,       99960,      105930,      132150,       5.700,        0.55
"Jackson, MS(0027140)",         670,         9.7,       44.61,       92800,         3.6,       26.45,       31.80,       38.98,       57.31,       65.48,       55020,       66130,       81070,      119200,      136200,       2.712,        0.26
"Jackson, TN(0027180)",          90,         7.4,       50.43,      104900,         5.3,       26.49,       36.05,       46.48,       62.96,       71.43,       55100,       74990,       96680,      130950,      148570,       1.378,        0.13
"Jacksonville, FL(0027260)",        5300,         2.3,       52.84,      109910,         1.7,       32.71,       39.45,       51.42,       63.18,       77.71,       68040,       82060,      106950,      131420,      161650,       7.343,        0.71
"Jacksonville, NC(0027340)",         210,         9.6,       51.55,      107230,         2.0,       31.49,       37.22,       49.33,       59.37,       73.16,       65490,       77430,      102600,      123500,      152170,       4.301,        0.41
"Janesville-Beloit, WI(0027500)",         210,         5.6,       42.73,       88870,         2.3,       24.93,       31.38,       40.13,       50.00,       62.45,       51850,       65260,       83470,      104000,      129890,       3.257,        0.31
"Jefferson City, MO(0027620)",         260,         8.9,       45.82,       95300,         2.4,       25.96,       32.19,       47.41,       58.71,       63.88,       54000,       66960,       98610,      122120,      132860,       3.510,        0.34
"Johnson City, TN(0027740)",         310,         8.8,       47.92,       99670,         4.5,       23.63,       30.67,       46.17,       61.62,       66.69,       49150,       63790,       96030,      128170,      138720,       3.840,        0.37
"Johnstown, PA(0027780)",         100,         7.8,       43.49,       90450,         3.8,       26.92,       33.46,       43.16,       49.44,       60.48,       55990,       69600,       89780,      102840,      125800,       1.992,        0.19
"Jonesboro, AR(0027860)",         160,        10.6,       41.65,       86630,         4.6,       27.38,       30.47,       37.14,       46.51,       60.73,       56960,       63380,       77260,       96750,      126320,       2.826,        0.27
"Joplin, MO(0027900)",         120,        15.4,       47.45,       98690,         2.8,       28.29,       37.39,       48.26,       58.57,       67.32,       58840,       77770,      100390,      121830,      140020,       1.579,        0.15
"Kahului-Wailuku-Lahaina, HI(0027980)",         150,        22.6,       59.24,      123220,         4.1,       32.94,       47.22,       56.13,       79.16,       81.72,       68520,       98210,      116760,      164660,      169980,       2.102,        0.20
"Kalamazoo-Portage, MI(0028020)",         500,         6.2,       47.06,       97880,         1.9,       28.52,       36.06,       46.71,       55.71,       62.42,       59330,       75010,       97160,      115880,      129830,       3.624,        0.35
"Kankakee, IL(0028100)",          90,        20.5,       56.27,      117030,         4.1,       32.51,       45.92,       60.25,       65.26,       75.63,       67610,       95520,      125320,      135750,      157300,       2.202,        0.21
"Kansas City, MO-KS(0028140)",       12690,         4.6,       52.31,      108810,         1.8,       28.98,       38.41,       49.85,       63.56,       76.41,       60280,       79900,      103680,      132210,      158940,      12.049,        1.16
Kansas nonmetropolitan area(2000006),         950,        16.9,       48.09,      100020,         4.7,       26.35,       36.05,       45.36,       59.11,       73.91,       54800,       74990,       94350,      122960,      153740,       2.472,        0.24
"Kennewick-Richland, WA(0028420)",         610,         4.3,       59.77,      124310,         1.4,       35.63,       47.78,       61.25,       74.39,       78.70,       74110,       99370,      127390,      154740,      163700,       5.022,        0.48
"Killeen-Temple, TX(0028660)",         480,        13.4,       51.06,      106200,         2.0,       29.49,       38.45,       49.30,       61.75,       71.15,       61340,       79980,      102540,      128430,      147990,       3.333,        0.32
"Kingsport-Bristol-Bristol, TN-VA(0028700)",         450,         8.5,       49.77,      103520,         2.1,       29.19,       37.88,       48.01,       59.47,       73.36,       60710,       78790,       99860,      123690,      152590,       3.954,        0.38
"Kingston, NY(0028740)",         160,         8.0,       55.35,      115130,         2.5,       28.03,       37.16,       51.96,       65.35,       87.96,       58310,       77290,      108070,      135930,      182960,       2.770,        0.27
"Knoxville, TN(0028940)",        2300,         4.0,       48.74,      101370,         4.8,       25.38,       37.54,       48.37,       62.20,       66.22,       52780,       78090,      100600,      129380,      137740,       5.763,        0.56
"Kokomo, IN(0029020)",          30,        20.5,       61.75,      128440,         7.8,       26.67,       40.96,       63.76,       65.11,      104.99,       55470,       85190,      132620,      135440,      218370,       0.990,        0.10
"La Crosse-Onalaska, WI-MN(0029100)",         270,         4.5,       47.43,       98660,         1.3,       28.23,       36.60,       47.35,       57.30,       67.03,       58720,       76140,       98500,      119180,      139410,       3.759,        0.36
"Lafayette, LA(0029180)",         330,        14.9,       44.10,       91720,         3.6,       30.13,       30.92,       41.42,       49.97,       64.98,       62680,       64320,       86150,      103940,      135150,       1.744,        0.17
"Lafayette-West Lafayette, IN(0029200)",         270,        13.3,       45.25,       94110,         3.0,       29.30,       32.57,       40.04,       53.30,       63.20,       60930,       67750,       83270,      110860,      131450,       2.766,        0.27
"Lake Havasu City-Kingman, AZ(0029420)",         110,         9.2,       48.44,      100740,         4.3,       28.48,       38.00,       46.07,       60.94,       71.73,       59230,       79050,       95820,      126760,      149190,       1.931,        0.19
"Lakeland-Winter Haven, FL(0029460)",         970,        11.2,       49.77,      103530,         1.5,       31.10,       38.48,       49.85,       60.48,       66.00,       64690,       80030,      103690,      125800,      137280,       3.863,        0.37
"Lancaster, PA(0029540)",         660,         5.5,       49.75,      103480,         1.6,       29.58,       37.47,       47.69,       60.17,       73.43,       61520,       77940,       99190,      125150,      152740,       2.720,        0.26
"Lansing-East Lansing, MI(0029620)",        2840,         3.6,       43.82,       91140,         0.9,       30.17,       36.16,       41.11,       49.52,       61.73,       62760,       75210,       85510,      103000,      128390,      13.998,        1.35
"Laredo, TX(0029700)",         130,        16.2,       52.81,      109850,         1.6,       27.24,       40.43,       55.72,       61.86,       69.75,       56660,       84090,      115890,      128670,      145080,       1.268,        0.12
"Las Cruces, NM(0029740)",         200,         8.5,       51.54,      107190,         6.1,       25.64,       34.62,       47.91,       65.30,       81.58,       53330,       72000,       99660,      135830,      169690,       2.791,        0.27
"Las Vegas-Henderson-Paradise, NV(0029820)",        2620,        14.7,       57.63,      119870,         5.0,       35.56,       39.98,       53.64,       74.11,       84.13,       73960,       83150,      111560,      154150,      174990,       2.563,        0.25
"Lawrence, KS(0029940)",         320,         7.3,       48.88,      101680,         4.8,       26.35,       34.13,       45.80,       59.66,       74.05,       54810,       70990,       95260,      124100,      154020,       6.548,        0.63
"Lawton, OK(0030020)",         130,        11.7,       42.84,       89120,         6.2,       22.48,       29.26,       39.41,       53.81,       73.33,       46760,       60860,       81980,      111910,      152530,       3.102,        0.30
"Lebanon, PA(0030140)",         100,         9.9,       48.60,      101090,         1.7,       33.69,       40.02,       46.00,       57.66,       68.43,       70080,       83240,       95680,      119940,      142330,       1.897,        0.18
"Leominster-Gardner, MA(0074500)",         150,         8.2,       66.28,      137860,         3.3,       31.17,       47.56,       68.13,       86.38,       86.38,       64830,       98920,      141710,      179660,      179660,       2.856,        0.28
"Lewiston, ID-WA(0030300)",          50,        12.7,       48.02,       99880,         3.6,       30.49,       38.83,       49.49,       59.91,       68.27,       63420,       80760,      102940,      124600,      142010,       1.943,        0.19
"Lewiston-Auburn, ME(0074650)",         110,        16.6,       47.19,       98150,         3.2,       28.67,       36.67,       48.37,       54.56,       64.90,       59640,       76270,      100610,      113480,      134990,       2.239,        0.22
"Lexington-Fayette, KY(0030460)",         920,         9.9,       49.89,      103760,         2.2,       30.48,       38.92,       49.00,       62.10,       73.04,       63400,       80960,      101920,      129170,      151920,       3.434,        0.33
"Lima, OH(0030620)",          90,         7.7,       48.72,      101330,         3.0,       30.13,       38.87,       47.00,       62.14,       64.40,       62660,       80840,       97750,      129250,      133950,       1.881,        0.18
"Lincoln, NE(0030700)",        1270,         6.7,       46.54,       96790,         2.0,       30.03,       36.63,       46.74,       57.67,       64.82,       62460,       76180,       97220,      119950,      134820,       7.290,        0.70
"Little Rock-North Little Rock-Conway, AR(0030780)",        1520,         8.7,       44.78,       93150,         2.3,       28.92,       35.95,       46.53,       49.58,       61.74,       60150,       74780,       96790,      103130,      128420,       4.508,        0.43
"Logan, UT-ID(0030860)",         790,         2.1,       47.39,       98560,         1.4,       23.07,       32.51,       41.01,       62.28,       76.83,       47990,       67610,       85300,      129540,      159810,      11.974,        1.15
"Longview, TX(0030980)",         180,         7.6,       51.26,      106610,         4.4,       28.74,       40.53,       52.00,       61.91,       71.21,       59790,       84310,      108150,      128780,      148130,       1.934,        0.19
"Longview, WA(0031020)",         140,         9.0,       58.24,      121140,         3.2,       33.28,       44.93,       59.89,       72.50,       77.18,       69220,       93460,      124580,      150800,      160540,       3.583,        0.35
"Los Angeles-Long Beach-Anaheim, CA(0031080)",       53220,         2.9,       71.83,      149410,         1.3,       39.68,       51.94,       65.36,       81.83,      103.74,       82530,      108040,      135960,      170210,      215780,       8.724,        0.84
"Louisville/Jefferson County, KY-IN(0031140)",        3530,         5.3,       50.87,      105810,         2.5,       31.83,       40.70,       48.84,       60.28,       74.97,       66200,       84650,      101580,      125390,      155930,       5.492,        0.53
Lower Savannah South Carolina nonmetropolitan area(4500004),          50,        16.8,       50.11,      104230,         2.6,       31.25,       37.62,       47.42,       63.09,       72.12,       65000,       78250,       98630,      131220,      150010,       0.945,        0.09
"Lubbock, TX(0031180)",         360,         8.4,       45.45,       94540,         2.6,       23.92,       33.95,       43.60,       52.05,       68.97,       49750,       70620,       90680,      108270,      143450,       2.420,        0.23
"Lynchburg, VA(0031340)",         610,         6.8,       55.86,      116190,         1.8,       31.24,       39.83,       52.61,       66.89,       80.47,       64970,       82850,      109420,      139120,      167380,       6.362,        0.61
"Macon, GA(0031420)",         420,         5.1,       54.32,      112980,         2.7,       31.75,       41.65,       50.49,       65.63,       75.84,       66030,       86630,      105010,      136510,      157750,       4.371,        0.42
"Madison, WI(0031540)",        4960,         5.3,       49.21,      102350,         3.0,       30.05,       39.86,       48.23,       62.16,       66.36,       62500,       82910,      100320,      129280,      138040,      12.811,        1.23
"Manchester, NH(0074950)",        1040,         6.1,       57.77,      120160,         2.9,       36.07,       42.94,       51.74,       65.18,       80.38,       75030,       89310,      107620,      135580,      167190,       9.769,        0.94
"Manhattan, KS(0031740)",         220,        21.0,       43.49,       90460,         5.6,       23.63,       29.87,       41.05,       55.74,       62.17,       49150,       62130,       85390,      115950,      129310,       5.703,        0.55
"Mankato-North Mankato, MN(0031860)",         200,         6.1,       47.82,       99460,         2.2,       29.01,       36.69,       47.83,       57.78,       65.93,       60340,       76310,       99490,      120170,      137130,       3.744,        0.36
"Mansfield, OH(0031900)",          90,        14.9,       45.14,       93880,         2.9,       25.45,       30.88,       42.90,       59.07,       71.16,       52930,       64230,       89220,      122870,      148020,       1.801,        0.17
Maryland nonmetropolitan area(2400006),          90,        17.4,       53.56,      111400,         5.1,       30.97,       41.01,       52.10,       61.95,       75.68,       64410,       85290,      108370,      128850,      157420,       1.492,        0.14
Massachusetts nonmetropolitan area(2500006),          80,         7.1,       56.95,      118450,         4.6,       33.02,       42.15,       52.23,       63.57,       84.80,       68670,       87670,      108640,      132220,      176380,       1.360,        0.13
"McAllen-Edinburg-Mission, TX(0032580)",         290,         9.7,       45.92,       95520,         2.4,       26.54,       34.65,       43.60,       55.63,       67.09,       55190,       72080,       90690,      115710,      139540,       1.061,        0.10
"Medford, OR(0032780)",         410,        11.1,       56.30,      117110,         2.7,       28.93,       39.25,       50.61,       64.14,       78.76,       60170,       81640,      105280,      133410,      163820,       4.693,        0.45
"Memphis, TN-MS-AR(0032820)",        2470,         4.1,       53.73,      111760,         2.4,       30.27,       39.90,       51.93,       64.50,       82.79,       62960,       82990,      108020,      134160,      172190,       3.983,        0.38
"Merced, CA(0032900)",          90,        11.3,       57.33,      119250,         3.2,       28.43,       44.18,       59.22,       71.33,       78.59,       59140,       91890,      123180,      148370,      163470,       1.138,        0.11
"Miami-Fort Lauderdale-West Palm Beach, FL(0033100)",       17330,         7.9,       55.03,      114460,         3.1,       24.71,       38.41,       52.32,       65.54,       81.70,       51390,       79890,      108830,      136330,      169930,       6.605,        0.64
"Michigan City-La Porte, IN(0033140)",          40,        22.9,       46.75,       97240,         5.5,       30.18,       38.08,       45.03,       52.32,       60.52,       62770,       79210,       93670,      108820,      125880,       1.063,        0.10
Middle Georgia nonmetropolitan area(1300002),         150,         9.8,       49.66,      103300,         2.5,       28.43,       36.95,       47.21,       60.22,       74.53,       59140,       76850,       98200,      125260,      155010,       1.145,        0.11
"Midland, MI(0033220)",         160,         7.2,       53.51,      111290,         1.4,       37.76,       50.63,       51.82,       61.27,       67.43,       78530,      105320,      107780,      127450,      140260,       4.502,        0.43
"Midland, TX(0033260)",         140,         8.1,       58.57,      121820,         3.3,       31.84,       45.56,       52.99,       68.65,       84.02,       66220,       94750,      110210,      142790,      174760,       1.364,        0.13
"Milwaukee-Waukesha-West Allis, WI(0033340)",        6520,         3.6,       50.90,      105870,         0.8,       31.11,       39.59,       50.58,       64.00,       67.78,       64710,       82350,      105210,      133120,      140980,       8.142,        0.78
"Minneapolis-St. Paul-Bloomington, MN-WI(0033460)",       29450,         2.2,       56.55,      117620,         0.7,       37.40,       47.20,       54.36,       65.41,       79.40,       77800,       98180,      113070,      136050,      165140,      15.630,        1.51
"Missoula, MT(0033540)",         410,         8.9,       55.32,      115070,         7.2,       28.31,       35.80,       50.04,       66.94,       73.36,       58880,       74460,      104090,      139230,      152580,       6.586,        0.63
"Mobile, AL(0033660)",        1030,         9.3,       50.02,      104030,         1.4,       29.87,       38.29,       47.71,       61.90,       79.60,       62130,       79640,       99240,      128740,      165560,       6.048,        0.58
"Modesto, CA(0033700)",         280,        10.1,       57.26,      119100,         3.3,       34.69,       41.64,       52.21,       65.58,       78.13,       72150,       86610,      108590,      136410,      162500,       1.472,        0.14
"Monroe, LA(0033740)",         140,         7.4,       52.57,      109350,         2.8,       33.13,       40.99,       49.69,       61.96,       64.20,       68910,       85250,      103360,      128880,      133540,       1.833,        0.18
"Monroe, MI(0033780)",         100,         9.7,       54.46,      113270,         2.6,       36.39,       43.42,       49.37,       60.66,       77.13,       75700,       90320,      102690,      126160,      160430,       2.519,        0.24
"Montgomery, AL(0033860)",         730,         8.1,       47.94,       99720,         2.6,       25.00,       36.67,       45.99,       58.46,       74.85,       52000,       76260,       95660,      121600,      155690,       4.654,        0.45
"Morgantown, WV(0034060)",         210,        12.3,       40.50,       84250,         4.1,       25.59,       29.85,       38.35,       48.44,       57.16,       53220,       62090,       79770,      100740,      118900,       3.318,        0.32
"Morristown, TN(0034100)",          60,        23.9,       48.13,      100110,        10.3,       23.78,       27.76,       43.42,       62.86,       84.42,       49460,       57740,       90320,      130740,      175580,       1.211,        0.12
"Mount Vernon-Anacortes, WA(0034580)",         200,        16.8,       57.52,      119640,         2.1,       35.05,       47.59,       52.98,       73.66,       79.16,       72900,       98980,      110200,      153210,      164660,       3.973,        0.38
Mountain North Carolina nonmetropolitan area(3700004),         310,         6.6,       51.05,      106180,         2.2,       28.14,       39.41,       49.96,       62.61,       75.75,       58520,       81980,      103910,      130220,      157560,       2.424,        0.23
"Muncie, IN(0034620)",         200,         9.5,       44.68,       92930,         2.1,       29.45,       36.34,       46.05,       48.76,       59.34,       61250,       75590,       95790,      101420,      123440,       4.593,        0.44
"Muskegon, MI(0034740)",          60,         7.2,       44.84,       93270,         1.9,       28.55,       32.77,       42.99,       49.45,       59.34,       59390,       68160,       89420,      102850,      123430,       1.065,        0.10
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC(0034820)",         280,        14.6,       48.36,      100580,         3.1,       32.06,       38.75,       46.45,       55.44,       69.24,       66680,       80600,       96610,      115320,      144010,       1.647,        0.16
"Napa, CA(0034900)",         100,        19.9,       64.75,      134690,         2.6,       41.19,       49.07,       61.82,       76.66,       97.52,       85670,      102070,      128580,      159450,      202850,       1.377,        0.13
"Naples-Immokalee-Marco Island, FL(0034940)",         500,        14.8,       54.65,      113670,         3.4,       29.57,       37.16,       52.63,       66.12,       81.82,       61510,       77300,      109470,      137520,      170190,       3.167,        0.31
"Nashville-Davidson--Murfreesboro--Franklin, TN(0034980)",        7680,        15.6,       53.04,      110330,         3.5,       30.95,       38.73,       51.76,       64.55,       72.74,       64370,       80570,      107670,      134260,      151290,       7.405,        0.71
Nevada nonmetropolitan area(3200006),         200,        35.7,       55.10,      114620,         4.3,       34.78,       38.02,       46.49,       62.56,       81.92,       72350,       79080,       96690,      130120,      170400,       1.988,        0.19
"New Bedford, MA(0075550)",         230,         8.8,       59.77,      124320,         3.1,       40.90,       48.55,       60.34,       67.66,       73.58,       85070,      100970,      125500,      140730,      153050,       3.506,        0.34
"New Bern, NC(0035100)",         110,        14.6,       52.25,      108670,         2.7,       27.83,       39.02,       54.80,       61.00,       77.81,       57890,       81170,      113970,      126880,      161850,       2.564,        0.25
"New Haven, CT(0075700)",        1370,        16.1,       56.77,      118080,         2.0,       36.86,       44.70,       51.05,       66.06,       83.82,       76670,       92980,      106180,      137400,      174350,       4.785,        0.46
